Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
kontrol-apa/flipblob-contracts,1,0,0,12,2023-10-18,Cairo,3
maksimryndin/vesu_flash_loan,1,0,0,0,2024-08-26,Cairo,1
cartridge-gg/hegemony,1,4,4,14,2024-08-04,TypeScript,3
rajeebkm/attestme,1,0,1,7,2024-06-24,TypeScript,2
exercism/lines-of-code-counter,1,8,4,218,2024-09-17,Shell,9
ftupas/cairo-katas,1,0,0,11,2023-06-26,Cairo,1
0xMeir/eth-paris-2023,1,0,0,0,2023-12-20,Cairo,1
abubakar508/Starknet-ERC-token-standard,1,0,0,0,2024-03-01,Cairo,1
jorgezerpa/zkwager,1,0,0,0,2024-11-19,Cairo,1
Signor1/starklings-exercise,1,1,1,13,2024-06-15,Cairo,2
juliusjulyp/Revolutionasing-learning-system-with-starknet,1,0,0,0,2023-09-09,Cairo,2
tekkac/cairo-unixtime,1,0,0,0,2023-09-14,Cairo,1
BibliothecaDAO/adventurers,1,1,1,1,2023-11-20,Cairo,1
ltfschoen/zk,1,0,0,0,2023-09-12,Cairo,1
akashbiswas0/StarkBot,1,1,0,0,2024-08-15,TypeScript,2
StrapexLabs/strapex,1,3,9,11,2024-11-20,TypeScript,1
starkience/Cairo-storage2,1,0,0,0,2024-01-05,Cairo,1
NethermindEth/warp-plugin,1,0,5,6,2024-10-14,Cairo,3
Cheelax/starklingsolution,1,0,0,0,2023-07-23,Cairo,15
storswiftlabs/Medical-ZKML-Orion,1,0,0,1,2024-05-09,Cairo,1
Ted1166/stark_subscription,1,1,1,1,2023-12-09,JavaScript,3
CarmineOptions/protocol-cairo1,1,0,5,23,2024-10-28,Cairo,4
underware-gg/pistols-64,1,3,0,2,2024-09-03,Cairo,1
starkience/Cairo-storage1,1,0,0,0,2024-01-05,Cairo,1
tony1908/starkfitness,1,0,0,1,2024-06-19,TypeScript,1
Ian0336/StarkRandomizer,1,0,0,0,2024-06-23,TypeScript,1
ametel01/nogame-starknet,1,0,0,1,2023-12-22,Cairo,1
shramee/linear-erc20,1,0,0,0,2023-06-13,Cairo,1
chrisalexadams/basecamp7-starklings,1,1,1,1,2023-11-29,Cairo,16
Nonnyjoe/Cairo_Voting_Contract,1,0,0,0,2024-04-08,Cairo,1
anubhav11156/Pharaonik,1,0,0,0,2024-08-11,Cairo,1
linked0/web_cairo,1,0,0,0,2024-10-29,Cairo,1
Divyaraj-Gohil/Starknet-workshop,1,0,0,0,2024-09-13,Cairo,1
smart-chain-fr/starknet-anchor-v2,1,0,0,5,2023-10-25,Cairo,1
oostvoort/abc,1,1,0,0,2023-10-22,Solidity,3
Akai1401/Starknet-NFT-Marketplace-eip721,1,1,0,0,2024-06-26,Cairo,1
AgosVenezia/Campus-StackUp,1,0,0,0,2024-11-20,Python,1
neotheprogramist/zkps,1,0,0,0,2024-09-09,Rust,1
0xKubitus/my-Starknet2.5.3-Boilerplate,1,0,0,0,2024-03-21,Cairo,1
trbutler4/starkfish,1,0,0,0,2023-08-30,Cairo,1
imduchuyyy/hello_cairo,1,0,0,0,2023-09-20,Cairo,1
horuslabsio/becoming-a-caironaut,1,0,0,0,2024-11-03,Cairo,1
raphaelDkhn/Luminair,1,0,0,0,2024-11-19,Rust,1
rajeebkm/starknet-roadshow-counter-workshop,1,0,0,0,2024-08-13,TypeScript,1
