Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
seymourpoler/learning-notes,0,0,0,0,2024-10-19,Shell,1
bjvt/TLE,0,0,0,0,2023-08-15,HTML,1
R06NV4LDR/M122_shellscripts,0,0,0,0,2024-07-07,Shell,1
leofishman/leo_quiz,0,0,0,0,2019-05-21,PHP,1
maksimsco/leo-sorting,0,0,0,0,2021-08-01,,1
SpeedReam/Leo2Html,0,0,0,0,2013-01-12,Python,1
McDowellLab/downloadNEON,0,0,0,0,2020-08-24,Jupyter Notebook,1
mthalman/winget-pkgs-dotnet,0,1,0,7,2022-03-25,PowerShell,1278
digital-botanical-gardens-initiative/dendron-jbuf,0,0,0,0,2022-10-15,,1
ReoDucky/fdroidata,0,0,0,0,2019-02-23,Shell,502
MatCarvalho21/trabalho_a1_lp,0,1,0,28,2024-03-07,Python,4
DCS-training/ScottishAccounts,0,0,0,0,2024-07-29,HTML,1
DCS-training/EFIDeepDive,0,0,0,0,2024-09-17,HTML,1
DCS-training/SummerSchoolStream2ContentTesting,0,0,0,0,2024-06-07,HTML,4
CyanMobile/android_device_htc_leo_cyanmobile,0,2,0,0,2014-02-15,C,1
relaton/relaton-data-ietf,0,0,0,3,2024-10-01,SystemVerilog,4
laleoarrow/T1D_IRI-review,0,0,0,0,2024-10-09,R,1
dora40323106/2014cpa_final_project,0,0,0,0,2015-01-12,Python,20
CIT262-Team-10/Team10,0,2,1,10,2024-01-27,JavaScript,6
tomgr/graphviz,0,1,0,0,2014-05-09,DOT,1
TrampolineRTOS/LEOS,0,0,0,0,2017-08-22,,2
EMGroup/tkeden,0,0,0,0,2014-12-22,C,1
ekrako/cloud-hw3,0,0,0,0,2023-06-24,Python,2
2014c2g5/Number1,0,0,8,8,2015-04-21,Python,4
hutch120/SpaceJunker,0,0,0,0,2021-10-09,JavaScript,1
edrex/env,0,2,0,1,2024-07-13,Shell,1
2014cdag16/2014cdag16,0,0,0,0,2014-06-24,Python,23
liancemthang/liancemthang,0,0,0,0,2024-07-31,,1
coursemdetw/project_site,0,10,1,39,2022-04-01,HTML,20
40823139/cp2019,0,0,0,0,2020-01-09,JavaScript,1
SimoUniProjecs/hackathon-cinema-GPU,0,0,0,0,2024-10-31,Fortran,2
zsociety-io/zmarket,0,0,0,0,2024-12-17,Rust,1
Collective-Intelligence-Labs/zk-agents-private-search,0,0,0,0,2023-11-04,JavaScript,2
40323105/2016springcd_aG1,0,1,0,0,2016-06-20,HTML,7
