Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
dataverse-os/idos,1,0,3,3,2024-07-19,Rust,2
mercury-protocol/ceres,1,0,0,0,2023-08-05,Rust,1
aragon/aragon-zkGovernance,1,0,0,1,2024-11-10,Solidity,1
halseth/zkfibonacci-rs,1,0,0,0,2024-09-19,Rust,1
simonerom/depin-zk-test,1,0,0,0,2024-02-14,Rust,1
zkfriendly/risc0-ethereum,1,0,5,11,2024-04-20,Rust,9
jonas089/L2-sequencer-utils,1,0,0,0,2024-10-02,Rust,1
argumentcomputer/zkvm-benchmarks,1,0,0,3,2024-11-14,Rust,2
IbrahimSam96/superhack_Ludex,0,0,0,0,2024-08-11,Solidity,1
gundeep/RiscZero-zktracer,0,0,0,0,2023-11-12,Rust,1
kariy/risc0-demo,0,0,0,0,2022-12-06,Rust,1
rafalum/bls_risc0,0,0,0,0,2024-07-08,Rust,1
denisadapt/risc0-playground,0,0,0,0,2023-07-23,Rust,1
jelilat/ludo-zk,0,0,0,0,2024-10-29,Rust,1
fabianferno/zkwarden,0,1,0,0,2024-04-21,TypeScript,3
jaydeepdey03/risc0-scalingeth-jaydeep,0,0,0,0,2024-04-15,Solidity,1
dan-sobolev-varathon/zk-stark-mixer,0,0,0,0,2024-09-29,Rust,1
l2iterative/ecdsa0-example,0,0,0,0,2024-01-16,Rust,1
brson/soroban-risc0,0,0,0,0,2023-09-23,Rust,1
tenetxyz/risc0-box2d-example,0,0,0,0,2023-03-03,Rust,1
Brianspha/zk-ordered-list,0,0,0,0,2024-06-09,Rust,1
janek26/risc0,0,0,0,0,2024-07-08,Rust,1
ProofPlus/benchmark-circuit,0,0,0,0,2024-07-17,Rust,1
flyq/hello-risc0,0,0,0,0,2024-04-27,Rust,1
larry-lime/zk-benchmark2,0,0,0,0,2024-11-02,Rust,3
ovanwijk/risc0-recursive-app-example,0,0,0,0,2024-09-26,Rust,1
fyInALT/zk-validate-pov,0,0,0,0,2023-07-24,Rust,1
10d9e/vllm,0,0,0,0,2024-01-14,Rust,1
staaason/risc0-helios,0,0,0,0,2024-10-04,Rust,1
rxdha1/SovereignBitcoin,0,0,0,0,2024-03-12,,1
FoodChain1028/risc0-merkle-demo,0,0,0,0,2024-07-14,Solidity,1
MaximFischuk/risk0-experiment,0,0,0,0,2024-04-11,Rust,1
adapt-toolkit/adapt-risc0-zkvm-platform,0,0,0,0,2024-08-27,C,1
MarcosLUFOX/citrea_10,0,0,0,0,2024-08-01,Rust,1
austinabell/r0-puzzles,0,0,0,0,2023-12-22,Rust,1
cheng-chun-yuan/RISC-Zero_contractMembership,0,0,0,0,2024-01-26,Rust,1
wureny/SpotCheck,0,0,0,0,2024-10-19,Rust,1
zypher-game/z4-templates,0,0,0,0,2024-06-25,Solidity,1
DefiCake/fuel-risc0-prover,0,0,0,0,2023-12-14,Rust,1
enderNakamoto/castle_edo,0,0,0,0,2024-08-30,Solidity,1
fluencelabs/randomx_risc0,0,0,0,0,2023-07-09,Assembly,1
austinabell/bs-repro,0,0,0,0,2024-08-21,Rust,1
austinabell/c-r0,0,0,0,0,2024-05-28,C,1
quartz-technology/hackathon-eth-global-scaling-ethereum-2024,0,0,0,12,2024-04-21,TypeScript,2
SolidityDrone/Colibridge,0,0,0,1,2024-04-21,Solidity,2
element36-io/hyperfridge-r0,0,2,1,15,2023-12-13,Rust,4
RevanthGundala/Proof-of-Location,0,0,0,0,2024-05-20,Solidity,1
olomix/zzkp,0,0,0,0,2024-10-25,Swift,1
Electron-Labs/quantum-demo,0,0,0,0,2024-11-08,Assembly,2
claudiovb/zk-encode-bootcamp,0,0,0,0,2023-10-15,Cairo,1
